1:Cual fue su motivación de crear una lista para representar a la carrera
2:Si en los planes de lista, existirá continuidad de actividades o realizarán lo planificado como lista
3:Cual sería su postura como CEE, con respecto a las paralizaciones, tomas o instancias de inactividad.
4:Cual sería su propuesta a realizar si por mayoría se acepta las paralizaciones.
5:Cual es su postura frente a la entrega de polerones que hará la facultad a los estudiantes
6:Cuales serían sus propuestas para ayudar a los estudiantes con rendimiento académico
7:Cual sería su postura frente a los problemas de alimentación de los estudiantes
8:Cual sería su propuesta como CEE frente a los estudiantes que tienen problemas de residencia en valdivia
9:Como abordarían uds como CEE, los problemas de la falta de participación cívica en las asambleas
10:Cual es su opinión frente a la elección de FEUACH, con respecto al porcentaje de votación poco representativa en la UACH
11:Cual es su opinion y que propondrían frente a las restricciones que indica la JUNAEB por el uso de la BECA
12:Cual es su postura frente a problemas académicos entre estudiantes y docentes
13:Cual es su opinión y postura frente a la cambio del artículo DFL2 que prohibía la participación de el estamento estudiantil en representación universitaria
14:Como uds como CEE, que podrían hacer frente a un escenario del cual los estudiantes sean partícipe de la elección de un rector
15:Cual es su postura frente al lucro en la educación, debe fomentarse?, debe eliminarse?, debe ser opcional? Porque.
16:Si en el edificio de informática se aprobara la construcción del 4º piso, cual sería su aporte frente este escenario?
17:Si tuvieran que cambiar los estatutos de la carrera, que propuestas tendrían?
18:Cual sería su opinión frente a un escenario donde las votaciones a CEE fuese triestamental en la carrera?
19:Como abordarían uds como CEE, la falta de recursos económicos que poseen para funcionar?
20:Cual es su opinión y alguna solución frente a la saturación del casino de la facultad
21:Cual es su opinión con respecto a los casos de acoso sexual en la universidad
22:Cual es su opinión frente a problemas de discriminación de genero que pueda darse en la carrera
23:Están de acuerdo que la gratuidad se amplíe a los CFT, y bajo que condiciones?
24:Cual es su postura frente al escenario que el gobierno decrete nuestra universidad como privada? Y como nos afectaría como estudiantes?
25:Como enfrentarían a los casos de eliminación de estudiantes de la carrera?
